"row ID","post_bugs","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line_coverage","instructions_coverage","branche_coverage","complexity_coverage","method_coverage","mutants_score","has_bugs"
"org:apache:commons:math:optimization:direct:MultiDirectional",1,10,0,0,0,0,2,12,1.0,1.0,1.0,1.0,1.0,0.66,"yes"
"org:apache:commons:math:optimization:direct:NelderMead",1,7,0,0,0,0,4,18,0.9846153846153847,0.9973190348525469,0.96875,0.9473684210526315,1.0,0.87,"yes"
"org:apache:commons:math:optimization:fitting:CurveFitter",1,13,0,50,83,0,2,12,0.8181818181818182,0.8969072164948454,1.0,0.75,0.7142857142857143,0.92,"yes"
"org:apache:commons:math:optimization:fitting:PolynomialFitter",2,9,0,50,50,0,2,8,0.7777777777777778,0.8974358974358975,1.0,1.0,1.0,0.95,"yes"
"org:apache:commons:math:optimization:general:AbstractLeastSquaresOptimizer",4,17,31,86,74,801,17,34,0.945054945054945,0.9216417910447762,0.9333333333333333,0.8484848484848485,0.8333333333333334,1.0,"yes"
"org:apache:commons:math:optimization:general:AbstractScalarDifferentiableOptimizer",1,15,23,89,80,362,10,16,0.8484848484848485,0.7795275590551181,0.5,0.6875,0.7857142857142857,1.0,"yes"
"org:apache:commons:math:optimization:general:GaussNewtonOptimizer",1,14,0,0,0,0,1,11,1.0,0.9736842105263158,0.9375,0.9,1.0,0.9,"yes"
"org:apache:commons:math:optimization:general:LevenbergMarquardtOptimizer",4,8,0,65,56,686,12,97,0.9817073170731707,0.9738271604938271,0.9081632653061225,0.8611111111111112,1.0,0.88,"yes"
"org:apache:commons:math:optimization:general:NonLinearConjugateGradientOptimizer",1,16,0,25,25,0,4,32,0.8918918918918919,0.9197860962566845,0.85,0.7692307692307693,0.8333333333333334,0.74,"yes"
"org:apache:commons:math:optimization:linear:SimplexSolver",1,11,0,0,0,0,1,25,1.0,1.0,1.0,1.0,1.0,0.76,"yes"
"org:apache:commons:math:optimization:linear:SimplexTableau",1,29,39,80,70,343,9,78,0.961038961038961,0.9535822401614531,0.9137931034482759,0.8539325842696629,0.9032258064516129,0.83,"yes"
"org:apache:commons:math:optimization:univariate:AbstractUnivariateRealOptimizer",2,9,15,90,97,125,5,12,1.0,1.0,1.0,1.0,1.0,1.0,"yes"
"org:apache:commons:math:optimization:univariate:BrentOptimizer",2,7,0,0,0,0,0,22,0.9324324324324325,0.8717948717948718,0.8125,0.7931034482758621,0.8,0.54,"yes"
"org:apache:commons:math:random:AbstractRandomGenerator",1,8,0,0,0,0,1,21,0.8085106382978723,0.8,0.7727272727272727,0.7272727272727273,0.8181818181818182,1.0,"yes"
"org:apache:commons:math:random:BitsStreamGenerator",1,9,0,0,0,0,1,15,1.0,1.0,1.0,1.0,1.0,1.0,"yes"
"org:apache:commons:math:random:EmpiricalDistributionImpl",1,25,23,82,76,365,9,40,0.8064516129032258,0.86892177589852,0.85,0.8333333333333334,0.9285714285714286,0.78,"yes"
"org:apache:commons:math:random:MersenneTwister",1,4,0,42,71,0,2,22,0.972972972972973,0.991701244813278,0.9642857142857143,0.9565217391304348,1.0,0.93,"yes"
"org:apache:commons:math:random:RandomDataImpl",2,17,3,58,100,99,2,70,0.9514563106796117,0.9559808612440192,0.9361702127659575,0.9,0.9565217391304348,0.72,"yes"
"org:apache:commons:math:random:ValueServer",1,13,35,81,89,195,7,40,0.9078947368421053,0.895774647887324,0.92,0.9230769230769231,0.9583333333333334,0.62,"yes"
"org:apache:commons:math:special:Erf",1,3,0,0,0,0,0,3,0.6666666666666666,0.85,1.0,0.6666666666666666,0.5,0.91,"yes"
"org:apache:commons:math:stat:Frequency",1,21,0,0,0,0,1,61,0.8818897637795275,0.8918367346938776,0.782608695652174,0.7894736842105263,0.8823529411764706,0.73,"yes"
"org:apache:commons:math:stat:clustering:KMeansPlusPlusClusterer",1,28,0,0,0,0,1,17,1.0,0.9913419913419913,0.9166666666666666,0.8823529411764706,1.0,0.52,"yes"
"org:apache:commons:math:stat:descriptive:AbstractUnivariateStatistic",1,5,0,0,0,0,0,16,0.9032258064516129,0.8511904761904762,0.8571428571428571,0.7777777777777778,1.0,1.0,"yes"
